wavelength,flux
4989.1136,2876.097
4989.7557,2876.121
4990.3979,2876.147
4991.04,2878.901
4991.6822,3102.233
4992.3243,2943.497
4992.9665,2985.693
4993.6086,2851.594
4994.2507,2976.958
4994.8929,3044.707
4995.535,3267.108
4996.1772,3308.024
4996.8193,2992.896
4997.4615,2826.603
4998.1036,2960.317
4998.7458,3065.954
4999.3879,3018.109
5000.0301,3024.966
5000.6722,3021.854
5001.3144,2998.387
5001.9565,2922.425
5002.5987,2791.55
5003.2408,2768.154
5003.883,3008.817
5004.5251,2607.327
5005.1672,2604.153
5005.8094,2804.896
5006.4515,2911.646
5007.0937,2732.496
5007.7358,2670.288
5008.378,2701.236
5009.0201,2659.93
5009.6623,2757.07
5010.3044,2970.676
5010.9466,2921.651
5011.5887,2918.131
5012.2309,3003.977
5012.873,2807.017
5013.5152,2872.613
5014.1573,2859.554
5014.7995,2907.579
5015.4416,2575.313
5016.0838,2628.089
5016.7259,2662.177
5017.368,2478.22
5018.0102,2825.775
5018.6523,2774.957
5019.2945,2879.035
5019.9366,2870.853
5020.5788,3028.381
5021.2209,2875.182
5021.8631,2774.973
5022.5052,2967.52
5023.1474,2977.288
5023.7895,3008.986
5024.4317,3081.274
5025.0738,2934.382
5025.716,2872.615
5026.3581,2959.876
5027.0003,3057.249
5027.6424,3191.099
5028.2846,2888.366
5028.9267,3091.257
5029.5688,3009.092
5030.211,3065.297
5030.8531,3090.875
5031.4953,3064.596
5032.1374,3320.272
5032.7796,3190.265
5033.4217,3271.926
5034.0639,3429.616
5034.706,3393.646
5035.3482,3197.723
5035.9903,3356.76
5036.6325,3274.787
5037.2746,3122.894
5037.9168,3020.654
5038.5589,2795.939
5039.2011,2719.33
5039.8432,2797.467
5040.4853,2744.454
5041.1275,2806.664
5041.7696,2665.415
5042.4118,2560.071
5043.0539,2655.216
5043.6961,2789.026
5044.3382,2659.438
5044.9804,2848.397
5045.6225,3110.043
5046.2647,3364.085
5046.9068,3247.527
5047.549,3451.338
5048.1911,3211.136
5048.8333,3380.893
5049.4754,3306.06
5050.1176,3195.385
5050.7597,3129.747
5051.4019,2777.011
5052.044,2843.581
5052.6861,2869.802
5053.3283,2879.066
5053.9704,3085.843
5054.6126,3126.85
5055.2547,3345.954
5055.8969,3541.723
5056.539,3354.824
5057.1812,3324.274
5057.8233,3372.726
5058.4655,3386.488
5059.1076,3283.373
5059.7498,3450.974
5060.3919,3351.982
5061.0341,3574.2
5061.6762,3541.422
5062.3184,3684.561
5062.9605,3350.298
5063.6027,3412.603
5064.2448,3334.199
5064.8869,3277.632
5065.5291,3168.405
5066.1712,2908.691
5066.8134,2995.424
5067.4555,3058.439
5068.0977,2961.211
5068.7398,3105.842
5069.382,3250.605
5070.0241,3178.149
5070.6663,3173.186
5071.3084,3126.528
5071.9506,3033.35
5072.5927,3192.348
5073.2349,3338.291
5073.877,3107.204
5074.5192,3083.348
5075.1613,3138.713
5075.8034,3071.18
5076.4456,3244.534
5077.0877,3188.673
5077.7299,3088.754
5078.372,3208.869
5079.0142,3213.423
5079.6563,3143.668
5080.2985,3032.776
5080.9406,2944.485
5081.5828,2927.13
5082.2249,2835.674
5082.8671,2774.269
5083.5092,2881.844
5084.1514,2996.316
5084.7935,3174.583
5085.4357,3061.503
5086.0778,3105.225
5086.72,3278.015
5087.3621,3097.664
5088.0042,3280.264
5088.6464,3310.158
5089.2885,3473.689
5089.9307,3423.601
5090.5728,3406.062
5091.215,3484.512
5091.8571,3384.154
5092.4993,3372.606
5093.1414,3458.347
5093.7836,3525.89
5094.4257,3508.792
5095.0679,3550.204
5095.71,3534.158
5096.3522,3455.755
5096.9943,3362.409
5097.6365,3230.702
5098.2786,3136.2
5098.9207,3132.978
5099.5629,3242.737
5100.205,3297.557
5100.8472,3422.681
5101.4893,3248.6
5102.1315,3146.539
5102.7736,3201.86
5103.4158,3331.511
5104.0579,3408.523
5104.7001,3316.609
5105.3422,3346.302
5105.9844,3434.285
5106.6265,3363.931
5107.2687,3137.082
5107.9108,3304.157
5108.553,3360.19
5109.1951,3240.675
5109.8373,3100.419
5110.4794,3043.179
5111.1215,3174.626
5111.7637,3171.218
5112.4058,3141.052
5113.048,3307.287
5113.6901,3376.489
5114.3323,3479.919
5114.9744,3443.956
5115.6166,3334.121
5116.2587,3449.993
5116.9009,3486.274
5117.543,3572.788
5118.1852,3629.635
5118.8273,3816.28
5119.4695,3365.63
5120.1116,3569.107
5120.7538,3755.33
5121.3959,3546.335
5122.0381,3549.775
5122.6802,3384.577
5123.3223,3270.579
5123.9645,3245.704
5124.6066,3274.218
5125.2488,3188.113
5125.8909,3097.256
5126.5331,3073.615
5127.1752,3014.307
5127.8174,3078.333
5128.4595,3219.093
5129.1017,3255.589
5129.7438,3148.967
5130.386,3128.724
5131.0281,3023.594
5131.6703,3198.373
5132.3124,3157.551
5132.9546,3282.401
5133.5967,3461.552
5134.2388,3474.049
5134.881,3494.15
5135.5231,3681.967
5136.1653,3630.611
5136.8074,3477.908
5137.4496,3397.179
5138.0917,3487.744
5138.7339,3428.972
5139.376,3219.986
5140.0182,3378.574
5140.6603,3414.899
5141.3025,3185.244
5141.9446,3166.793
5142.5868,3289.128
5143.2289,3384.51
5143.8711,3404.443
5144.5132,3277.878
5145.1554,3324.402
5145.7975,3215.606
5146.4396,3224.82
5147.0818,3288.127
5147.7239,3108.741
5148.3661,3130.902
5149.0082,3129.814
5149.6504,3106.169
5150.2925,3191.843
5150.9347,3261.843
5151.5768,3352.586
5152.219,3323.94
5152.8611,3247.631
5153.5033,3287.175
5154.1454,3163.994
5154.7876,3048.93
5155.4297,3154.718
5156.0719,3302.889
5156.714,3346.188
5157.3561,3396.546
5157.9983,3576.499
5158.6404,3792.216
5159.2826,3858.059
5159.9247,3773.286
5160.5669,4100.187
5161.209,4034.466
5161.8512,3871.954
5162.4933,3953.248
5163.1355,3558.499
5163.7776,3509.88
5164.4198,3636.663
5165.0619,3288.176
5165.7041,3060.798
5166.3462,3114.622
5166.9884,3086.152
5167.6305,2772.038
5168.2727,2536.498
5168.9148,2516.318
5169.5569,2506.268
5170.1991,2388.75
5170.8412,2326.755
5171.4834,2457.317
5172.1255,2648.125
5172.7677,2669.205
5173.4098,2617.27
5174.052,2505.873
5174.6941,2294.398
5175.3363,2397.189
5175.9784,2506.96
5176.6206,2655.314
5177.2627,3018.075
5177.9049,3184.228
5178.547,3256.582
5179.1892,3230.339
5179.8313,3199.165
5180.4735,3093.43
5181.1156,2935.985
5181.7577,2903.196
5182.3999,2963.468
5183.042,2709.319
5183.6842,2449.883
5184.3263,2325.912
5184.9685,2375.479
5185.6106,2418.472
5186.2528,2480.741
5186.8949,2595.097
5187.5371,2800.023
5188.1792,3091.332
5188.8214,3397.816
5189.4635,3640.659
5190.1057,3496.749
5190.7478,3637.726
5191.39,3770.072
5192.0321,3579.433
5192.6742,3543.2
5193.3164,3485.423
5193.9585,3221.775
5194.6007,3356.646
5195.2428,3076.25
5195.885,3343.506
5196.5271,3802.283
5197.1693,3791.215
5197.8114,3958.497
5198.4536,3947.151
5199.0957,3904.071
5199.7379,4032.121
5200.38,3902.034
5201.0222,3885.977
5201.6643,4155.76
5202.3065,4126.14
5202.9486,3900.875
5203.5908,3800.855
5204.2329,3695.594
5204.875,3663.482
5205.5172,3411.199
5206.1593,3163.116
5206.8015,2942.726
5207.4436,2995.086
5208.0858,2976.432
5208.7279,2807.907
5209.3701,2792.679
5210.0122,2838.088
5210.6544,3098.254
5211.2965,3063.119
5211.9387,3528.505
5212.5808,3738.336
5213.223,3862.026
5213.8651,3843.141
5214.5073,4263.889
5215.1494,4498.332
5215.7915,4409.49
5216.4337,4284.898
5217.0758,4304.382
5217.718,4195.35
5218.3601,3971.95
5219.0023,4160.954
5219.6444,4407.409
5220.2866,4349.8
5220.9287,4541.128
5221.5709,4703.781
5222.213,4727.321
5222.8552,4483.574
5223.4973,4625.721
5224.1395,4564.968
5224.7816,4345.612
5225.4238,4189.825
5226.0659,4069.433
5226.7081,3949.491
5227.3502,3789.999
5227.9923,3684.636
5228.6345,3663.786
5229.2766,3688.977
5229.9188,3903.155
5230.5609,4052.702
5231.2031,4411.16
5231.8452,4570.372
5232.4874,4468.319
5233.1295,4481.663
5233.7717,4452.066
5234.4138,4388.826
5235.056,4339.695
5235.6981,4333.634
5236.3403,4567.179
5236.9824,4679.591
5237.6246,4741.678
5238.2667,4957.235
5238.9089,5108.848
5239.551,5035.221
5240.1931,4879.645
5240.8353,5127.424
5241.4774,4993.705
5242.1196,4845.631
5242.7617,4947.657
5243.4039,4780.054
5244.046,4794.12
5244.6882,4929.72
5245.3303,4937.026
5245.9725,4853.936
5246.6146,4867.327
5247.2568,5087.405
5247.8989,4888.519
5248.5411,4582.598
5249.1832,4437.287
5249.8254,4328.492
5250.4675,4406.437
5251.1096,4631.363
5251.7518,4686.274
5252.3939,4479.547
5253.0361,4278.095
5253.6782,4371.344
5254.3204,4755.528
5254.9625,4780.729
5255.6047,4819.373
5256.2468,4748.614
5256.889,4737.814
5257.5311,4954.776
5258.1733,5026.631
5258.8154,5049.474
5259.4576,5171.202
5260.0997,5134.603
5260.7419,5070.722
5261.384,4799.191
5262.0262,4842.696
5262.6683,4581.031
5263.3104,4315.697
5263.9526,4131.369
5264.5947,3863.179
5265.2369,3691.129
5265.879,3682.674
5266.5212,3693.597
5267.1633,2965.272
5267.8055,2686.25
5268.4476,3505.219
5269.0898,3336.22
5269.7319,3660.924
5270.3741,3789.073
5271.0162,3583.604
5271.6584,3442.55
5272.3005,3419.491
5272.9427,3700.464
5273.5848,3871.614
5274.227,4054.165
5274.8691,4461.13
5275.5112,4460.752
5276.1534,4682.794
5276.7955,4748.262
5277.4377,4753.561
5278.0798,4783.236
5278.722,4817.607
5279.3641,5013.156
5280.0063,5194.375
5280.6484,5254.558
5281.2906,5154.363
5281.9327,5001.711
5282.5749,4858.487
5283.217,4657.081
5283.8592,4498.323
5284.5013,4575.567
5285.1435,4751.307
5285.7856,4729.261
5286.4277,4696.579
5287.0699,5015.633
