wavelength,flux
4987.8929,2353.507
4988.5349,2353.534
4989.1769,2353.56
4989.8189,2298.293
4990.4608,2261.202
4991.1028,2373.657
4991.7448,2424.218
4992.3868,2423.442
4993.0288,2155.011
4993.6708,2220.555
4994.3128,2370.204
4994.9548,2391.394
4995.5968,2334.338
4996.2388,2504.158
4996.8807,2494.055
4997.5227,2403.589
4998.1647,2572.125
4998.8067,2514.629
4999.4487,2424.239
5000.0907,2430.109
5000.7327,2320.452
5001.3747,2169.009
5002.0167,2135.762
5002.6587,2105.497
5003.3007,2052.739
5003.9426,2175.755
5004.5846,2191.979
5005.2266,2125.83
5005.8686,2062.443
5006.5106,2117.962
5007.1526,2122.72
5007.7946,2060.627
5008.4366,2011.99
5009.0786,2079.913
5009.7206,2252.128
5010.3625,2250.731
5011.0045,2145.824
5011.6465,2211.949
5012.2885,2189.743
5012.9305,2332.141
5013.5725,2320.94
5014.2145,2250.609
5014.8565,2154.883
5015.4985,2075.317
5016.1405,2132.614
5016.7824,2190.889
5017.4244,2172.413
5018.0664,2076.305
5018.7084,1988.931
5019.3504,2236.068
5019.9924,2353.611
5020.6344,2206.706
5021.2764,2398.041
5021.9184,2174.081
5022.5604,2190.547
5023.2024,2210.099
5023.8443,2351.349
5024.4863,2259.371
5025.1283,2255.323
5025.7703,2351.802
5026.4123,2351.624
5027.0543,2275.83
5027.6963,2346.198
5028.3383,2328.868
5028.9803,2284.295
5029.6223,2334.873
5030.2642,2361.666
5030.9062,2335.885
5031.5482,2312.772
5032.1902,2523.29
5032.8322,2591.069
5033.4742,2527.765
5034.1162,2498.443
5034.7582,2418.012
5035.4002,2661.533
5036.0422,2538.504
5036.6842,2543.708
5037.3261,2584.464
5037.9681,2382.558
5038.6101,2365.579
5039.2521,2364.463
5039.8941,2377.807
5040.5361,2269.726
5041.1781,2227.17
5041.8201,2201.145
5042.4621,2106.682
5043.1041,2065.486
5043.746,2076.334
5044.388,2130.03
5045.03,2242.345
5045.672,2435.784
5046.314,2578.666
5046.956,2572.179
5047.598,2446.699
5048.24,2727.774
5048.882,2759.694
5049.524,2746.221
5050.1659,2396.308
5050.8079,2477.757
5051.4499,2440.43
5052.0919,2152.302
5052.7339,2299.105
5053.3759,2328.471
5054.0179,2274.472
5054.6599,2392.844
5055.3019,2341.103
5055.9439,2467.302
5056.5859,2670.195
5057.2278,2733.641
5057.8698,2750.575
5058.5118,2690.778
5059.1538,2532.927
5059.7958,2554.106
5060.4378,2731.54
5061.0798,2904.757
5061.7218,2901.204
5062.3638,2765.789
5063.0058,2650.399
5063.6477,2787.042
5064.2897,2756.679
5064.9317,2590.096
5065.5737,2593.156
5066.2157,2501.7
5066.8577,2531.066
5067.4997,2353.175
5068.1417,2397.582
5068.7837,2430.043
5069.4257,2409.537
5070.0677,2430.986
5070.7096,2489.266
5071.3516,2439.233
5071.9936,2364.968
5072.6356,2418.26
5073.2776,2474.5
5073.9196,2579.888
5074.5616,2593.199
5075.2036,2509.002
5075.8456,2476.648
5076.4876,2561.764
5077.1295,2773.625
5077.7715,2788.935
5078.4135,2607.52
5079.0555,2452.621
5079.6975,2299.754
5080.3395,2512.324
5080.9815,2417.373
5081.6235,2408.817
5082.2655,2276.413
5082.9075,2220.909
5083.5494,2252.201
5084.1914,2322.594
5084.8334,2406.38
5085.4754,2422.706
5086.1174,2378.748
5086.7594,2446.812
5087.4014,2500.176
5088.0434,2555.561
5088.6854,2647.105
5089.3274,2639.448
5089.9694,2723.213
5090.6113,2738.943
5091.2533,2745.732
5091.8953,2610.03
5092.5373,2649.921
5093.1793,2762.317
5093.8213,2882.975
5094.4633,2722.146
5095.1053,2740.107
5095.7473,2815.097
5096.3893,2823.84
5097.0312,2812.01
5097.6732,2804.422
5098.3152,2719.86
5098.9572,2567.651
5099.5992,2529.397
5100.2412,2663.495
5100.8832,2701.626
5101.5252,2504.417
5102.1672,2412.445
5102.8092,2459.841
5103.4512,2453.275
5104.0931,2541.152
5104.7351,2571.53
5105.3771,2623.56
5106.0191,2622.342
5106.6611,2651.782
5107.3031,2564.778
5107.9451,2639.063
5108.5871,2508.371
5109.2291,2707.257
5109.8711,2784.49
5110.513,2628.106
5111.155,2572.212
5111.797,2492.567
5112.439,2528.305
5113.081,2597.831
5113.723,2701.048
5114.365,2837.216
5115.007,2798.572
5115.649,2757.136
5116.291,2937.041
5116.9329,2941.529
5117.5749,2864.341
5118.2169,2728.826
5118.8589,2662.756
5119.5009,2829.104
5120.1429,2938.729
5120.7849,3078.515
5121.4269,2747.58
5122.0689,2699.297
5122.7109,2726.796
5123.3529,2791.306
5123.9948,2642.801
5124.6368,2643.71
5125.2788,2671.656
5125.9208,2650.51
5126.5628,2595.655
5127.2048,2511.768
5127.8468,2492.021
5128.4888,2543.015
5129.1308,2643.398
5129.7728,2632.652
5130.4147,2475.766
5131.0567,2430.988
5131.6987,2490.155
5132.3407,2739.169
5132.9827,2702.452
5133.6247,2791.143
5134.2667,2687.253
5134.9087,2869.327
5135.5507,2736.038
5136.1927,2938.409
5136.8347,2752.825
5137.4766,2789.986
5138.1186,2934.75
5138.7606,2825.187
5139.4026,2621.179
5140.0446,2649.787
5140.6866,2634.861
5141.3286,2640.796
5141.9706,2510.993
5142.6126,2497.221
5143.2546,2620.896
5143.8965,2658.229
5144.5385,2734.129
5145.1805,2808.266
5145.8225,2661.773
5146.4645,2620.63
5147.1065,2623.594
5147.7485,2825.982
5148.3905,2810.258
5149.0325,2805.614
5149.6745,2716.556
5150.3164,2758.023
5150.9584,2694.789
5151.6004,2661.484
5152.2424,2559.167
5152.8844,2758.313
5153.5264,2669.052
5154.1684,2586.801
5154.8104,2496.842
5155.4524,2519.937
5156.0944,2547.849
5156.7364,2805.37
5157.3783,2862.339
5158.0203,2765.744
5158.6623,2925.243
5159.3043,3077.96
5159.9463,3087.361
5160.5883,3144.375
5161.2303,3112.394
5161.8723,3056.609
5162.5143,3028.605
5163.1563,3096.069
5163.7982,3133.107
5164.4402,2953.241
5165.0822,3072.412
5165.7242,2661.311
5166.3662,2444.451
5167.0082,2322.157
5167.6502,2323.299
5168.2922,2197.366
5168.9342,2169.819
5169.5762,2008.277
5170.2182,1835.954
5170.8601,1797.487
5171.5021,1944.29
5172.1441,2014.563
5172.7861,1998.792
5173.4281,2009.664
5174.0701,2015.01
5174.7121,1938.215
5175.3541,1839.786
5175.9961,1949.737
5176.6381,2066.469
5177.28,2259.655
5177.922,2486.587
5178.564,2611.45
5179.206,2727.178
5179.848,2723.249
5180.49,2648.868
5181.132,2428.093
5181.774,2400.937
5182.416,2338.077
5183.058,2223.111
5183.6999,2149.24
5184.3419,2052.205
5184.9839,1945.046
5185.6259,1922.289
5186.2679,1875.393
5186.9099,2031.481
5187.5519,2262.524
5188.1939,2485.346
5188.8359,2726.305
5189.4779,2917.687
5190.1199,3049.373
5190.7618,3062.501
5191.4038,2922.648
5192.0458,2918.029
5192.6878,2850.565
5193.3298,2885.194
5193.9718,2866.243
5194.6138,2883.618
5195.2558,2767.395
5195.8978,2859.211
5196.5398,2883.706
5197.1817,3045.386
5197.8237,3284.436
5198.4657,3118.073
5199.1077,3288.533
5199.7497,3368.169
5200.3917,3410.911
5201.0337,3293.481
5201.6757,3341.255
5202.3177,3270.708
5202.9597,3289.772
5203.6017,3230.012
5204.2436,3006.752
5204.8856,2801.718
5205.5276,2692.555
5206.1696,2678.918
5206.8116,2534.887
5207.4536,2347.714
5208.0956,2308.122
5208.7376,2272.869
5209.3796,2256.558
5210.0216,2401.125
5210.6635,2660.365
5211.3055,2588.211
5211.9475,2757.488
5212.5895,2993.714
5213.2315,2986.043
5213.8735,3066.563
5214.5155,3484.953
5215.1575,3649.635
5215.7995,3596.902
5216.4415,3518.819
5217.0834,3559.04
5217.7254,3459.159
5218.3674,3432.667
5219.0094,3467.149
5219.6514,3548.42
5220.2934,3756.371
5220.9354,3918.875
5221.5774,3936.355
5222.2194,3874.479
5222.8614,3900.437
5223.5034,3707.564
5224.1453,3654.951
5224.7873,3644.221
5225.4293,3570.123
5226.0713,3281.969
5226.7133,3171.839
5227.3553,3128.173
5227.9973,2890.256
5228.6393,2915.937
5229.2813,2883.615
5229.9233,3086.972
5230.5652,3261.991
5231.2072,3338.717
5231.8492,3568.427
5232.4912,3685.573
5233.1332,3668.895
5233.7752,3599.025
5234.4172,3659.392
5235.0592,3717.993
5235.7012,3638.869
5236.3432,3655.132
5236.9852,3825.856
5237.6271,3968.526
5238.2691,4017.515
5238.9111,4082.554
5239.5531,3981.556
5240.1951,3964.673
5240.8371,4114.509
5241.4791,4161.921
5242.1211,4124.151
5242.7631,4077.258
5243.4051,4088.334
5244.047,4386.542
5244.689,4222.111
5245.331,4273.822
5245.973,4209.407
5246.615,4041.657
5247.257,4011.262
5247.899,4033.738
5248.541,4118.756
5249.183,4113.23
5249.825,3902.915
5250.4669,3772.454
5251.1089,3779.642
5251.7509,3798.353
5252.3929,3914.967
5253.0349,3994.757
5253.6769,3847.187
5254.3189,3783.044
5254.9609,3861.144
5255.6029,3990.728
5256.2449,4111.16
5256.8869,3923.772
5257.5288,4271.311
5258.1708,4299.767
5258.8128,4144.332
5259.4548,4210.62
5260.0968,4379.525
5260.7388,4328.654
5261.3808,4097.326
5262.0228,4069.457
5262.6648,4018.344
5263.3068,3843.03
5263.9487,3649.039
5264.5907,3532.344
5265.2327,3378.913
5265.8747,2417.031
5266.5167,2560.598
5267.1587,3044.428
5267.8007,3009.544
5268.4427,3017.141
5269.0847,2789.832
5269.7267,2679.433
5270.3687,2885.199
5271.0106,3018.028
5271.6526,3071.838
5272.2946,2991.618
5272.9366,3013.056
5273.5786,3034.257
5274.2206,3252.247
5274.8626,3594.349
5275.5046,3757.093
5276.1466,4028.082
5276.7886,3833.909
5277.4305,4127.377
5278.0725,4038.555
5278.7145,3835.776
5279.3565,4170.269
5279.9985,4313.472
5280.6405,4362.241
5281.2825,4399.069
5281.9245,4214.703
5282.5665,4027.635
5283.2085,3949.294
5283.8504,3922.129
5284.4924,3969.493
5285.1344,4037.56
5285.7764,3986.208
5286.4184,3908.664
5287.0604,4060.54
5287.7024,4238.693
5288.3444,4386.063
5288.9864,4534.275
5289.6284,4802.977
5290.2704,4810.307
5290.9123,4759.83
5291.5543,4644.45
5292.1963,4609.696
5292.8383,4867.296
5293.4803,4660.743
5294.1223,4560.766
5294.7643,4806.482
5295.4063,4609.135
5296.0483,4571.297
5296.6903,4194.876
5297.3322,4134.045
5297.9742,4058.46
5298.6162,4005.189
5299.2582,4023.844
5299.9002,3910.609
5300.5422,3770.906
5301.1842,3677.578
5301.8262,3797.457
5302.4682,4232.064
5303.1102,4437.729
5303.7522,4407.816
5304.3941,4515.581
5305.0361,4457.099
5305.6781,4575.983
5306.3201,4671.02
5306.9621,4610.498
5307.6041,4677.0
5308.2461,4590.337
5308.8881,4760.967
5309.5301,4814.531
5310.1721,4763.322
5310.814,4658.521
5311.456,4785.421
5312.098,4752.021
5312.74,4725.443
5313.382,4878.144
5314.024,4851.708
5314.666,4833.782
5315.308,4931.118
5315.95,4801.333
5316.592,4686.86
5317.2339,4713.956
5317.8759,4688.662
5318.5179,4733.39
5319.1599,4858.577
5319.8019,4874.24
5320.4439,4832.647
5321.0859,4791.499
5321.7279,4750.082
5322.3699,4835.923
5323.0119,4623.932
5323.6539,4430.351
5324.2958,4497.26
5324.9378,4417.622
5325.5798,4258.378
5326.2218,4155.192
5326.8638,4166.037
5327.5058,3789.255
5328.1478,3653.487
5328.7898,3753.381
5329.4318,3687.822
5330.0738,3603.255
5330.7157,3649.366
5331.3577,3712.906
5331.9997,3886.62
5332.6417,4078.576
5333.2837,4185.218
5333.9257,4359.947
5334.5677,4660.417
5335.2097,4827.755
5335.8517,4805.648
5336.4937,4802.751
5337.1357,4830.799
5337.7776,4790.75
5338.4196,4748.919
5339.0616,4701.699
5339.7036,4486.373
5340.3456,4509.113
5340.9876,4373.652
5341.6296,4441.285
5342.2716,4323.643
5342.9136,4209.448
5343.5556,4227.826
5344.1975,4384.812
5344.8395,4379.837
5345.4815,4572.872
5346.1235,4657.662
5346.7655,4669.548
5347.4075,4435.444
5348.0495,4250.87
5348.6915,4368.76
5349.3335,4456.955
5349.9755,4419.112
5350.6174,4443.921
5351.2594,4611.414
5351.9014,4626.763
5352.5434,4602.587
5353.1854,4730.663
5353.8274,4954.207
5354.4694,5085.018
5355.1114,5033.271
5355.7534,5053.944
5356.3954,5283.913
5357.0374,4925.063
5357.6793,5093.711
5358.3213,5349.633
5358.9633,5433.569
5359.6053,5429.719
5360.2473,5375.02
5360.8893,5244.396
5361.5313,5152.785
5362.1733,5125.327
5362.8153,5314.354
5363.4573,5272.833
5364.0992,5233.267
5364.7412,5049.135
5365.3832,4990.148
5366.0252,4836.002
5366.6672,4779.792
5367.3092,4741.509
5367.9512,4776.464
5368.5932,4661.45
5369.2352,4508.48
5369.8772,4418.922
5370.5192,4250.518
5371.1611,4223.322
5371.8031,4373.006
5372.4451,4292.924
5373.0871,4108.901
5373.7291,4013.043
5374.3711,4056.633
5375.0131,4362.956
5375.6551,4627.377
5376.2971,4885.807
5376.9391,5121.472
5377.581,5126.767
5378.223,5088.161
5378.865,5261.635
5379.507,5427.784
5380.149,5205.533
5380.791,5235.403
5381.433,5250.61
5382.075,5135.449
5382.717,5174.768
5383.359,4888.135
5384.0009,4909.466
5384.6429,5028.643
5385.2849,5010.549
5385.9269,5056.653
5386.5689,5162.707
5387.2109,5339.916
5387.8529,5186.697
5388.4949,5124.031
5389.1369,5299.85
5389.7789,5241.28
5390.4209,5073.807
5391.0628,5002.3
5391.7048,4875.385
5392.3468,4848.782
5392.9888,4824.669
5393.6308,4858.528
5394.2728,4740.815
5394.9148,4610.573
5395.5568,4753.773
5396.1988,4572.901
5396.8408,4533.946
5397.4827,4545.601
5398.1247,4541.101
5398.7667,4358.796
5399.4087,4619.445
5400.0507,4525.245
5400.6927,4583.685
5401.3347,4647.452
5401.9767,4790.271
5402.6187,4942.97
5403.2607,4897.903
5403.9027,4822.102
5404.5446,4716.478
5405.1866,4640.161
5405.8286,4544.343
5406.4706,4484.119
5407.1126,4378.883
5407.7546,4214.669
5408.3966,4141.105
5409.0386,4172.121
5409.6806,4236.146
5410.3226,4265.462
5410.9645,4486.482
5411.6065,4573.894
5412.2485,4492.368
5412.8905,4701.995
5413.5325,4585.176
5414.1745,4511.32
5414.8165,4384.539
5415.4585,4509.656
5416.1005,4567.314
5416.7425,4825.368
5417.3844,5141.424
5418.0264,5334.951
5418.6684,5421.329
5419.3104,5317.142
5419.9524,5416.243
5420.5944,5579.363
5421.2364,5444.987
5421.8784,5338.781
5422.5204,5259.023
5423.1624,5224.459
5423.8044,5162.432
5424.4463,5121.184
5425.0883,5169.844
5425.7303,5268.045
5426.3723,5294.487
5427.0143,5232.198
5427.6563,5208.439
5428.2983,5166.665
5428.9403,5116.421
5429.5823,5180.431
5430.2243,5158.17
5430.8662,5193.796
5431.5082,5013.425
5432.1502,4820.542
5432.7922,4537.439
5433.4342,4559.587
5434.0762,4722.433
5434.7182,4811.31
5435.3602,4811.665
5436.0022,4945.89
5436.6442,4720.505
5437.2862,4792.348
5437.9281,5102.762
5438.5701,5083.074
5439.2121,5119.999
5439.8541,5325.101
5440.4961,5473.918
5441.1381,5794.853
5441.7801,5651.095
5442.4221,5630.15
5443.0641,5788.853
5443.7061,5817.816
5444.348,5653.364
5444.99,5474.842
5445.632,5344.427
5446.274,5146.404
5446.916,4998.409
5447.558,5012.608
5448.2,5017.59
5448.842,4827.304
5449.484,4609.478
5450.126,4658.25
5450.7679,4930.933
5451.4099,5128.222
5452.0519,5476.26
5452.6939,5470.389
5453.3359,5483.394
5453.9779,5526.196
5454.6199,5400.368
5455.2619,5146.566
5455.9039,5063.867
5456.5459,4953.328
5457.1879,5091.866
5457.8298,5016.738
5458.4718,4929.757
5459.1138,4976.083
5459.7558,5172.769
5460.3978,5374.119
5461.0398,5457.971
5461.6818,5493.634
5462.3238,5401.849
5462.9658,5461.812
5463.6078,5423.349
5464.2497,5213.037
5464.8917,5195.66
5465.5337,5200.85
5466.1757,5114.97
5466.8177,5163.456
5467.4597,5306.233
5468.1017,5418.26
5468.7437,5544.954
5469.3857,5549.709
5470.0277,5672.522
5470.6697,5602.544
5471.3116,5626.611
5471.9536,5419.475
5472.5956,5313.607
5473.2376,5447.084
5473.8796,5357.097
5474.5216,5060.086
5475.1636,5535.775
5475.8056,5077.479
5476.4476,5148.858
5477.0896,5057.248
5477.7315,5084.722
5478.3735,4870.832
5479.0155,5033.28
5479.6575,5060.125
5480.2995,5006.854
5480.9415,4926.967
5481.5835,5237.945
5482.2255,5301.785
5482.8675,5192.737
5483.5095,5305.39
5484.1514,5333.626
5484.7934,5247.978
5485.4354,5339.673
5486.0774,5446.65
5486.7194,5501.304
5487.3614,5622.586
5488.0034,5721.107
5488.6454,5710.641
5489.2874,5595.171
5489.9294,5470.309
5490.5714,5515.23
5491.2133,5693.811
5491.8553,5560.697
5492.4973,5572.124
5493.1393,5627.608
5493.7813,5649.914
5494.4233,5580.287
5495.0653,5782.802
5495.7073,5817.752
5496.3493,5798.993
5496.9913,5587.437
5497.6332,5444.088
5498.2752,5716.562
5498.9172,5529.42
5499.5592,5667.528
5500.2012,5464.243
5500.8432,5411.371
5501.4852,5439.757
5502.1272,5628.798
5502.7692,5598.655
5503.4112,5573.911
5504.0532,5617.938
5504.6951,5580.271
5505.3371,5422.01
5505.9791,5268.427
5506.6211,5380.746
5507.2631,5485.023
5507.9051,5475.525
5508.5471,5484.814
5509.1891,5411.694
5509.8311,5446.889
5510.4731,5604.234
5511.115,5689.019
5511.757,5601.522
5512.399,5497.621
5513.041,5338.691
5513.683,5193.249
5514.325,5147.183
5514.967,5074.186
5515.609,5297.432
5516.251,5367.825
5516.893,5136.382
5517.5349,5306.612
5518.1769,5637.127
5518.8189,5680.096
5519.4609,5779.048
5520.1029,5951.165
5520.7449,5773.318
5521.3869,5737.93
5522.0289,5924.025
5522.6709,6005.022
5523.3129,6038.332
5523.9549,5950.327
5524.5968,6005.857
5525.2388,6086.96
5525.8808,5841.637
5526.5228,5686.425
5527.1648,5785.035
5527.8068,5714.934
5528.4488,5565.726
5529.0908,5554.094
5529.7328,5460.359
5530.3748,5363.107
5531.0167,5400.308
5531.6587,5368.458
5532.3007,5511.863
5532.9427,5724.83
5533.5847,5615.425
5534.2267,5636.729
5534.8687,5795.162
5535.5107,5699.577
5536.1527,5708.723
5536.7947,5766.492
5537.4367,5772.11
5538.0786,5693.54
5538.7206,5699.242
5539.3626,5671.243
5540.0046,5775.642
5540.6466,5841.894
5541.2886,5932.267
5541.9306,5924.872
5542.5726,5847.999
5543.2146,6028.982
5543.8566,6030.291
5544.4985,5694.538
5545.1405,5835.302
5545.7825,5999.082
5546.4245,5846.646
5547.0665,5777.909
5547.7085,5813.219
5548.3505,5770.904
5548.9925,5911.326
5549.6345,6069.389
5550.2765,6017.905
5550.9184,5945.885
5551.5604,5933.021
5552.2024,5975.827
5552.8444,6100.318
5553.4864,6106.329
5554.1284,6106.039
5554.7704,6107.647
5555.4124,6020.133
5556.0544,5891.225
5556.6964,5773.257
5557.3384,5789.229
5557.9803,5835.565
5558.6223,5896.61
5559.2643,6079.455
5559.9063,6089.534
5560.5483,6014.946
5561.1903,6041.089
5561.8323,5848.906
5562.4743,5994.875
5563.1163,5846.208
5563.7583,5720.985
5564.4002,5966.581
5565.0422,5861.832
5565.6842,5722.942
5566.3262,5739.521
5566.9682,5709.813
5567.6102,5565.456
5568.2522,5642.218
5568.8942,5530.156
5569.5362,5491.682
5570.1782,5627.866
5570.8202,5607.099
5571.4621,5637.187
5572.1041,5591.646
5572.7461,5436.397
5573.3881,5468.402
5574.0301,5577.931
5574.6721,5646.558
5575.3141,5503.791
5575.9561,5328.375
5576.5981,5479.74
5577.2401,5671.346
5577.882,5844.426
5578.524,6097.656
5579.166,6195.786
5579.808,5834.866
5580.45,6106.077
5581.092,6248.986
5581.734,6024.794
