wavelength,flux
4989.3641,22634.33
4990.0061,22634.52
4990.6481,22634.71
4991.29,22634.88
4991.932,22426.81
4992.574,22238.6
4993.2159,22611.96
4993.8579,22197.98
4994.4999,22351.86
4995.1418,22759.45
4995.7838,22916.25
4996.4258,23085.66
4997.0677,23032.33
4997.7097,23041.99
4998.3517,23496.74
4998.9936,23695.77
4999.6356,23454.43
5000.2776,23254.94
5000.9195,22659.96
5001.5615,22585.56
5002.2035,22102.73
5002.8454,22306.86
5003.4874,22253.05
5004.1294,22811.88
5004.7713,22776.65
5005.4133,22556.8
5006.0553,22428.71
5006.6972,22257.51
5007.3392,22219.59
5007.9812,22014.63
5008.6231,21707.75
5009.2651,21639.89
5009.9071,22112.41
5010.549,22621.01
5011.191,22846.88
5011.833,23084.13
5012.4749,23170.01
5013.1169,22797.71
5013.7589,22555.82
5014.4008,22430.4
5015.0428,21789.16
5015.6848,21453.44
5016.3267,21898.56
5016.9687,21924.77
5017.6107,21566.08
5018.2526,22025.74
5018.8946,22522.5
5019.5366,22564.27
5020.1785,22651.99
5020.8205,22771.13
5021.4625,22604.39
5022.1044,22630.42
5022.7464,22772.94
5023.3884,22924.85
5024.0303,22853.11
5024.6723,22644.97
5025.3143,22620.22
5025.9562,22929.45
5026.5982,23331.3
5027.2402,23415.98
5027.8821,23337.71
5028.5241,23406.9
5029.1661,23450.11
5029.808,23132.77
5030.45,23288.5
5031.092,23307.25
5031.7339,23866.12
5032.3759,24049.46
5033.0179,24421.73
5033.6598,24637.54
5034.3018,24323.67
5034.9438,24260.53
5035.5857,24213.07
5036.2277,23942.89
5036.8697,23875.11
5037.5116,23551.48
5038.1536,23120.82
5038.7956,22886.87
5039.4375,22947.09
5040.0795,23000.35
5040.7215,22802.29
5041.3634,22474.41
5042.0054,22201.96
5042.6474,22063.41
5043.2893,21846.3
5043.9313,21540.28
5044.5733,22001.67
5045.2152,22751.07
5045.8572,24002.05
5046.4992,24461.22
5047.1411,24400.05
5047.7831,24469.0
5048.4251,24517.77
5049.067,24397.82
5049.709,24600.35
5050.351,24121.31
5050.9929,23614.87
5051.6349,23545.79
5052.2769,23317.98
5052.9188,23280.59
5053.5608,23417.46
5054.2028,23818.19
5054.8447,24253.47
5055.4867,24525.53
5056.1287,24826.55
5056.7706,24796.34
5057.4126,24908.73
5058.0546,24811.81
5058.6965,25089.5
5059.3385,24816.16
5059.9805,24938.7
5060.6224,25538.95
5061.2644,25513.66
5061.9064,24961.48
