wavelength,flux
4987.9697,4632.381
4988.6117,4632.429
4989.2537,4632.477
4989.8957,4702.702
4990.5377,4707.709
4991.1796,4314.817
4991.8216,4476.016
4992.4636,4473.577
4993.1056,4529.392
4993.7476,4428.198
4994.3895,4380.13
4995.0315,4577.602
4995.6735,4670.812
4996.3155,4562.681
4996.9575,4605.02
4997.5995,4651.258
4998.2414,4522.462
4998.8834,4454.56
4999.5254,4431.775
5000.1674,4332.763
5000.8094,4241.944
5001.4514,4139.659
5002.0933,3999.622
5002.7353,4231.42
5003.3773,4109.417
5004.0193,4275.812
5004.6613,4122.783
5005.3032,4219.968
5005.9452,4273.337
5006.5872,4212.8
5007.2292,3972.28
5007.8712,3993.199
5008.5132,3895.415
5009.1551,4108.796
5009.7971,4379.642
5010.4391,4407.602
5011.0811,4476.753
5011.7231,4546.598
5012.365,4370.15
5013.007,4161.729
5013.649,4033.264
5014.291,4003.179
5014.933,3837.505
5015.575,3624.157
5016.2169,3762.591
5016.8589,3805.677
5017.5009,3901.911
5018.1429,4106.46
5018.7849,4259.233
5019.4269,4359.343
5020.0688,4245.722
5020.7108,4438.756
5021.3528,4543.648
5021.9948,4619.886
5022.6368,4296.104
5023.2787,4287.737
5023.9207,4248.797
5024.5627,4415.879
5025.2047,4321.559
5025.8467,4447.687
5026.4887,4572.728
5027.1306,4655.137
5027.7726,4575.47
5028.4146,4286.866
5029.0566,4269.681
5029.6986,4429.85
5030.3406,4360.741
5030.9825,4573.692
5031.6245,4751.019
5032.2665,5108.893
5032.9085,4871.104
5033.5505,4954.208
5034.1924,4769.193
5034.8344,4623.512
5035.4764,4939.874
5036.1184,4814.941
5036.7604,4531.031
5037.4024,4376.222
5038.0443,4244.862
5038.6863,4174.424
5039.3283,4121.403
5039.9703,4177.979
5040.6123,3967.617
5041.2542,3781.342
5041.8962,3804.831
5042.5382,3901.937
5043.1802,4034.097
5043.8222,4134.859
5044.4642,4246.511
5045.1061,4505.926
5045.7481,4720.095
5046.3901,5002.259
5047.0321,4979.267
5047.6741,4870.421
5048.3161,5018.112
5048.958,4913.318
5049.6,4786.803
5050.242,4565.28
5050.884,4557.479
5051.526,4464.193
5052.1679,4436.946
5052.8099,4539.353
5053.4519,4454.438
5054.0939,4545.967
5054.7359,4872.568
5055.3779,4964.974
5056.0198,4847.776
5056.6618,4883.402
5057.3038,5071.882
5057.9458,5098.702
5058.5878,4971.714
5059.2298,5102.406
5059.8717,5179.25
5060.5137,5024.723
5061.1557,4956.642
5061.7977,5087.942
5062.4397,4981.52
5063.0816,4838.65
5063.7236,4861.907
5064.3656,4960.769
5065.0076,4903.284
5065.6496,4748.969
5066.2916,4722.658
5066.9335,4544.096
5067.5755,4420.64
5068.2175,4360.089
5068.8595,4619.276
5069.5015,4767.694
5070.1435,4663.654
5070.7854,4617.354
5071.4274,4606.766
5072.0694,4589.399
5072.7114,4597.291
5073.3534,4717.055
5073.9953,4757.834
5074.6373,4656.367
5075.2793,4570.524
5075.9213,4846.813
5076.5633,4780.774
5077.2053,4677.547
5077.8472,4555.153
5078.4892,4577.355
5079.1312,4376.187
5079.7732,4519.745
5080.4152,4412.631
5081.0571,4209.955
5081.6991,4261.775
5082.3411,4217.117
5082.9831,4260.318
5083.6251,4353.832
5084.2671,4491.606
5084.909,4631.373
5085.551,4627.389
5086.193,4574.984
5086.835,4827.899
5087.477,4939.775
5088.119,5063.34
5088.7609,4941.572
5089.4029,5011.635
5090.0449,4947.535
5090.6869,4887.389
5091.3289,5045.679
5091.9708,5058.614
5092.6128,5007.825
5093.2548,5201.241
5093.8968,5352.006
5094.5388,5226.2
5095.1808,5347.299
5095.8227,5255.93
5096.4647,5057.756
