wavelength,flux
4988.2805,99982.0
4988.9225,99982.98
4989.5645,99983.98
4990.2065,100049.0
4990.8486,100339.7
4991.4906,100728.9
4992.1326,99669.38
4992.7747,99185.16
4993.4167,98593.82
4994.0587,98208.24
4994.7008,98541.46
4995.3428,99972.91
4995.9848,100424.4
4996.6268,100594.6
4997.2689,100781.3
4997.9109,101383.4
4998.5529,101698.7
4999.195,101394.8
4999.837,101186.4
5000.479,100298.4
5001.121,99341.62
5001.7631,99318.82
5002.4051,98033.49
5003.0471,97961.73
5003.6892,98171.44
5004.3312,98735.23
5004.9732,97909.61
5005.6153,97792.91
5006.2573,97907.38
5006.8993,98257.84
5007.5413,97112.0
5008.1834,96700.69
5008.8254,95626.93
5009.4674,95160.92
5010.1095,97283.05
5010.7515,99735.79
5011.3935,101225.8
5012.0356,101294.3
5012.6776,100464.1
5013.3196,99854.08
5013.9616,98543.91
5014.6037,96886.9
5015.2457,96367.89
5015.8877,96116.86
5016.5298,96640.65
5017.1718,96225.28
5017.8138,96272.44
5018.4559,98710.28
5019.0979,98833.53
5019.7399,100497.1
5020.3819,100126.5
5021.024,99453.66
5021.666,99519.62
5022.308,100088.3
5022.9501,101349.7
5023.5921,102091.7
5024.2341,102094.4
5024.8762,101703.2
5025.5182,101588.8
5026.1602,101890.6
5026.8022,102460.0
5027.4443,103203.2
5028.0863,103451.0
5028.7283,102671.3
5029.3704,102956.1
5030.0124,103554.5
5030.6544,103563.7
5031.2965,104411.8
5031.9385,105778.9
5032.5805,106987.9
5033.2225,107494.0
5033.8646,106835.9
5034.5066,107080.0
5035.1486,104708.7
5035.7907,104958.6
5036.4327,104763.7
5037.0747,104146.5
5037.7168,103209.4
5038.3588,102038.8
5039.0008,100782.4
5039.6428,100099.6
5040.2849,99859.2
5040.9269,99181.89
5041.5689,98497.06
5042.211,98219.12
5042.853,97977.61
5043.495,97682.3
5044.1371,98697.81
5044.7791,99819.85
5045.4211,102384.7
5046.0631,105739.6
5046.7052,108103.6
5047.3472,108162.9
5047.9892,108549.3
5048.6313,108172.3
5049.2733,107268.3
5049.9153,106668.7
5050.5574,105981.5
5051.1994,104738.6
5051.8414,103860.3
5052.4834,103772.2
5053.1255,103927.9
5053.7675,104805.6
5054.4095,106441.4
5055.0516,107357.1
5055.6936,107939.4
5056.3356,109339.0
5056.9777,110048.3
5057.6197,110598.4
5058.2617,110975.0
5058.9037,110678.8
5059.5458,110755.6
5060.1878,112011.4
5060.8298,111086.3
5061.4719,111833.2
5062.1139,112086.2
5062.7559,111879.1
5063.398,111599.7
5064.04,110366.4
5064.682,109651.8
5065.324,108893.0
5065.9661,108183.7
5066.6081,107745.1
5067.2501,106842.6
5067.8922,105815.1
5068.5342,105947.5
5069.1762,107238.8
5069.8182,108445.6
5070.4603,108711.4
5071.1023,107942.1
5071.7443,107669.9
5072.3864,108293.3
5073.0284,109454.9
5073.6704,110077.6
5074.3125,109840.1
5074.9545,110051.2
5075.5965,108940.2
5076.2385,109000.8
5076.8806,110202.4
5077.5226,110768.4
5078.1646,109276.4
5078.8067,108166.7
5079.4487,107224.9
5080.0907,107137.9
5080.7328,106136.2
5081.3748,104849.8
5082.0168,103585.9
5082.6588,103356.7
5083.3009,104558.5
5083.9429,105928.0
5084.5849,107606.6
5085.227,109326.0
5085.869,109809.1
5086.511,111254.5
5087.1531,112445.6
5087.7951,112943.9
5088.4371,113827.5
5089.0791,115782.8
5089.7212,115115.6
5090.3632,114471.6
5091.0052,114050.0
5091.6473,114812.5
5092.2893,114781.7
5092.9313,114930.5
5093.5734,115529.0
5094.2154,116164.7
5094.8574,116884.8
5095.4994,117417.4
5096.1415,116998.0
5096.7835,115819.1
5097.4255,114143.7
5098.0676,113063.5
5098.7096,112652.3
5099.3516,111979.2
5099.9937,111932.7
5100.6357,111816.2
5101.2777,111547.5
5101.9197,111898.2
5102.5618,112103.8
5103.2038,112915.8
5103.8458,113847.1
5104.4879,116088.3
5105.1299,115675.9
5105.7719,115544.2
5106.414,114425.9
5107.056,113116.7
5107.698,112778.8
5108.34,112261.6
5108.9821,112089.0
5109.6241,111429.8
5110.2661,110665.6
5110.9082,110794.7
5111.5502,111992.7
5112.1922,113538.6
5112.8343,114159.0
5113.4763,114129.6
5114.1183,115240.0
5114.7603,116953.3
5115.4024,118198.1
5116.0444,118714.2
5116.6864,118769.2
5117.3285,120009.2
5117.9705,120252.9
5118.6125,120146.6
5119.2546,118827.0
5119.8966,119514.8
5120.5386,119637.7
5121.1806,119935.6
5121.8227,119427.7
5122.4647,118426.6
5123.1067,117646.2
5123.7488,116937.8
5124.3908,116476.8
5125.0328,116126.4
5125.6749,115244.2
5126.3169,114299.7
5126.9589,113606.8
5127.6009,113700.1
5128.243,114269.2
5128.885,113733.2
5129.527,114380.7
5130.1691,115996.5
5130.8111,115934.6
5131.4531,116773.0
5132.0951,117530.5
5132.7372,117116.8
5133.3792,116519.7
5134.0212,118015.1
5134.6633,119524.4
5135.3053,119029.8
5135.9473,118978.9
5136.5894,117797.9
5137.2314,117715.6
5137.8734,116470.4
5138.5154,116699.3
5139.1575,116534.2
5139.7995,115206.8
5140.4415,114061.3
5141.0836,113559.4
5141.7256,112663.6
5142.3676,112075.8
5143.0097,113234.4
5143.6517,115668.9
5144.2937,117766.9
5144.9357,116276.2
5145.5778,115903.8
5146.2198,116470.2
5146.8618,118412.6
5147.5039,119069.8
5148.1459,119801.9
5148.7879,120062.0
5149.43,118696.3
5150.072,118382.7
5150.714,117315.3
5151.356,117498.6
5151.9981,118051.4
5152.6401,118468.6
5153.2821,116994.4
5153.9242,116187.1
5154.5662,116768.7
5155.2082,117536.1
5155.8503,119388.0
5156.4923,120393.8
5157.1343,121373.5
5157.7763,123432.1
5158.4184,123960.7
5159.0604,125350.6
5159.7024,126883.6
5160.3445,127779.8
