wavelength,flux
4989.2633,107260.9
4989.9052,107261.8
4990.5472,107262.8
4991.1891,107251.5
4991.831,107217.7
4992.473,106782.9
4993.1149,106425.7
4993.7569,106381.2
4994.3988,106142.0
4995.0407,106938.3
4995.6827,108977.4
4996.3246,109175.6
4996.9666,108533.3
4997.6085,108914.8
4998.2505,110314.5
4998.8924,111095.4
4999.5343,110294.3
5000.1763,109536.1
5000.8182,108481.9
5001.4602,107410.2
5002.1021,106066.8
5002.744,105405.5
5003.386,104588.6
5004.0279,107187.6
5004.6699,107977.6
5005.3118,107147.2
5005.9538,106457.7
5006.5957,106529.9
5007.2376,104969.3
5007.8796,103921.4
5008.5215,102368.4
5009.1635,101250.7
5009.8054,102754.5
5010.4473,105741.8
5011.0893,108760.6
5011.7312,110457.3
5012.3732,110484.9
5013.0151,109097.1
5013.6571,107053.0
5014.299,105682.9
5014.9409,103803.8
5015.5829,102107.4
5016.2248,103183.1
5016.8668,102779.1
5017.5087,103418.6
5018.1506,104170.9
5018.7926,107025.6
5019.4345,107614.6
5020.0765,107219.5
5020.7184,107417.9
5021.3604,107618.7
5022.0023,108007.4
5022.6442,108761.4
5023.2862,108703.8
5023.9281,108496.7
5024.5701,108624.6
5025.212,109003.0
5025.854,109473.0
5026.4959,110432.0
5027.1378,111587.9
5027.7798,111706.1
5028.4217,111175.9
5029.0637,111343.3
5029.7056,110526.1
5030.3475,110301.0
5030.9895,110434.6
5031.6314,112660.6
5032.2734,114861.3
5032.9153,115782.8
5033.5573,115305.2
5034.1992,115001.0
5034.8411,115266.8
5035.4831,114216.1
5036.125,112752.9
5036.767,112313.7
5037.4089,111082.2
5038.0508,109270.6
5038.6928,108129.2
5039.3347,108207.3
5039.9767,108728.0
5040.6186,108780.7
5041.2606,107233.1
5041.9025,104620.8
5042.5444,103003.5
5043.1864,102620.6
5043.8283,102986.0
5044.4703,103788.9
5045.1122,106093.0
5045.7541,111167.8
5046.3961,115386.5
5047.038,116293.6
5047.68,117106.3
5048.3219,117517.2
5048.9639,116534.7
5049.6058,115872.8
5050.2477,114431.4
5050.8897,112826.4
5051.5316,111310.4
5052.1736,109899.6
5052.8155,109177.4
5053.4574,110067.6
5054.0994,112124.7
5054.7413,113396.2
5055.3833,114606.0
5056.0252,116538.6
5056.6672,117110.8
5057.3091,117281.7
5057.951,117765.6
5058.593,118574.4
5059.2349,118596.4
5059.8769,119134.4
5060.5188,118564.8
5061.1608,119996.0
5061.8027,119651.7
5062.4446,120159.3
5063.0866,119137.5
5063.7285,119054.4
5064.3705,118758.0
5065.0124,117307.6
5065.6543,116177.6
5066.2963,115171.2
5066.9382,113851.6
5067.5802,112531.9
5068.2221,112557.1
5068.8641,114124.5
5069.506,115727.9
5070.1479,116221.3
5070.7899,115780.9
5071.4318,114994.3
5072.0738,115393.2
5072.7157,115925.1
5073.3576,117844.4
5073.9996,117735.5
5074.6415,117812.0
5075.2835,116569.4
5075.9254,116922.7
5076.5674,118975.2
5077.2093,117907.8
5077.8512,116485.6
5078.4932,116638.6
5079.1351,116370.6
5079.7771,116029.1
5080.419,114801.3
5081.0609,113337.6
5081.7029,111059.9
5082.3448,109451.7
5082.9868,109654.8
5083.6287,111038.2
5084.2707,112958.7
5084.9126,114993.4
5085.5545,116650.0
5086.1965,117018.9
5086.8384,117610.9
5087.4804,119527.9
5088.1223,122252.0
5088.7642,122173.1
5089.4062,122662.5
5090.0481,122622.1
5090.6901,121222.9
5091.332,121728.4
5091.974,122703.7
5092.6159,122339.6
5093.2578,122314.6
5093.8998,122858.1
5094.5417,123017.4
5095.1837,124530.9
5095.8256,124866.1
5096.4676,123913.3
5097.1095,122600.8
5097.7514,121194.2
5098.3934,120837.7
5099.0353,120772.6
5099.6773,119382.5
5100.3192,117885.0
5100.9611,116840.3
5101.6031,117378.5
5102.245,117284.1
5102.887,119582.9
5103.5289,121073.1
5104.1709,123384.2
5104.8128,123149.1
5105.4547,123858.6
5106.0967,122643.1
5106.7386,122293.4
5107.3806,121503.5
5108.0225,120015.7
5108.6644,118866.0
5109.3064,119072.5
5109.9483,117888.4
5110.5903,116614.8
5111.2322,116813.5
5111.8742,118410.0
5112.5161,119974.0
5113.158,120891.2
5113.8,121628.3
5114.4419,122938.2
5115.0839,125410.3
5115.7258,126753.5
5116.3677,127901.7
5117.0097,127224.7
5117.6516,127358.4
5118.2936,127509.9
5118.9355,127547.1
5119.5775,126591.9
5120.2194,127456.5
5120.8613,127897.3
5121.5033,127383.6
5122.1452,126710.8
5122.7872,125925.5
5123.4291,125120.9
5124.071,124631.7
5124.713,123502.0
5125.3549,122379.9
5125.9969,120872.0
5126.6388,119829.9
5127.2808,119742.6
5127.9227,120312.0
5128.5646,121334.0
5129.2066,122020.0
5129.8485,122198.9
5130.4905,121177.9
5131.1324,122192.9
5131.7744,123759.2
5132.4163,124066.3
5133.0582,124469.0
5133.7002,126696.3
5134.3421,125860.3
5134.9841,125455.1
5135.626,126709.8
5136.2679,125546.1
5136.9099,124720.3
5137.5518,125544.0
5138.1938,126634.3
5138.8357,125284.6
5139.4777,123895.6
5140.1196,122231.5
5140.7615,119895.0
5141.4035,118909.3
5142.0454,119058.7
5142.6874,118757.9
5143.3293,119966.4
5143.9712,123403.3
5144.6132,124103.9
5145.2551,122439.4
5145.8971,122390.3
5146.539,123628.7
5147.181,126789.4
5147.8229,126784.5
5148.4648,126325.0
5149.1068,126613.0
5149.7487,124040.0
5150.3907,125415.9
5151.0326,125097.1
5151.6745,124385.2
5152.3165,124760.8
5152.9584,123869.6
5153.6004,123122.0
5154.2423,122040.6
5154.8843,122119.6
5155.5262,124077.0
5156.1681,125658.7
5156.8101,127119.6
5157.452,129102.1
5158.094,130691.0
5158.7359,131610.4
5159.3778,132575.3
5160.0198,133756.1
5160.6617,134822.5
5161.3037,134524.9
5161.9456,133661.7
5162.5876,132977.3
5163.2295,132442.4
5163.8714,134206.6
5164.5134,131115.9
5165.1553,129374.0
5165.7973,126718.2
5166.4392,125530.2
5167.0812,121711.9
5167.7231,116897.0
5168.365,111439.2
5169.007,106178.1
5169.6489,103171.9
5170.2909,101700.3
5170.9328,103091.4
5171.5747,106352.8
5172.2167,107850.4
5172.8586,107527.0
5173.5006,106525.4
5174.1425,104095.3
5174.7845,101609.9
5175.4264,100655.1
5176.0683,104410.4
5176.7103,112477.5
5177.3522,122611.4
5177.9942,128021.6
5178.6361,130133.9
5179.278,130227.9
5179.92,131080.3
5180.5619,129277.6
5181.2039,128541.4
5181.8458,126495.3
5182.4878,122939.4
5183.1297,117655.5
5183.7716,112947.6
5184.4136,108749.7
5185.0555,105698.9
5185.6975,102992.0
5186.3394,101619.7
5186.9813,104772.4
5187.6233,113360.8
5188.2652,123379.0
5188.9072,129838.3
5189.5491,133233.1
5190.1911,135439.2
5190.833,134136.7
5191.4749,131827.4
5192.1169,130119.3
5192.7588,130746.1
5193.4008,130670.1
5194.0427,128444.8
5194.6846,124198.0
5195.3266,125413.2
5195.9685,127383.9
5196.6105,132603.7
5197.2524,134499.7
5197.8944,134577.0
5198.5363,134018.7
5199.1782,136282.0
5199.8202,138468.3
5200.4621,138972.9
5201.1041,139083.4
5201.746,138916.4
5202.388,139510.6
5203.0299,139474.4
5203.6718,137805.6
5204.3138,135725.3
5204.9557,132850.5
5205.5977,129989.1
5206.2396,127742.8
5206.8815,126034.1
5207.5235,124601.7
5208.1654,121712.8
5208.8074,122258.6
5209.4493,121566.3
5210.0913,123836.0
5210.7332,126802.1
5211.3751,126901.3
5212.0171,128479.9
5212.659,134693.9
5213.301,140793.1
5213.9429,143516.8
5214.5848,146182.5
5215.2268,147740.4
5215.8687,146705.7
5216.5107,144946.1
5217.1526,143659.6
5217.7946,142998.3
5218.4365,141995.9
5219.0784,141483.6
5219.7204,143223.7
5220.3623,145887.9
5221.0043,148052.0
5221.6462,150317.9
5222.2881,152518.4
5222.9301,152375.3
5223.572,152376.1
5224.214,152228.7
5224.8559,150885.0
5225.4979,148829.1
5226.1398,144838.6
5226.7817,141845.2
5227.4237,137905.8
5228.0656,135707.4
5228.7076,134704.3
5229.3495,133302.9
5229.9914,133592.0
5230.6334,136798.8
5231.2753,142967.7
5231.9173,147012.7
5232.5592,146989.6
5233.2012,146767.2
5233.8431,146726.0
5234.485,145202.6
5235.127,143725.5
5235.7689,143329.4
5236.4109,143804.3
5237.0528,147021.3
5237.6948,150454.6
5238.3367,152697.9
5238.9786,154390.8
5239.6206,155353.6
5240.2625,156079.3
5240.9045,155571.5
5241.5464,155820.2
5242.1883,156676.1
5242.8303,155507.7
5243.4722,156046.8
5244.1142,155045.9
5244.7561,156324.2
5245.3981,155014.2
5246.04,154308.5
5246.6819,154375.0
5247.3239,154424.5
5247.9658,153932.8
