wavelength,flux
4987.6771,87515.05
4988.3191,87516.07
4988.961,87517.09
4989.603,87492.18
4990.245,87409.18
4990.8869,87213.35
4991.5289,85946.22
4992.1708,85449.27
4992.8128,86508.44
4993.4548,84705.42
4994.0967,85107.29
4994.7387,86139.36
4995.3806,87491.86
4996.0226,86899.87
4996.6646,87343.09
4997.3065,88395.62
4997.9485,88847.8
4998.5904,88484.68
4999.2324,88277.1
4999.8743,87967.98
5000.5163,87277.33
5001.1583,86279.51
5001.8002,85416.61
5002.4422,85472.05
5003.0841,85239.55
5003.7261,85552.24
5004.3681,85613.31
5005.01,86463.34
5005.652,85477.5
5006.2939,86496.16
5006.9359,85438.4
5007.5779,83221.86
5008.2198,82891.66
5008.8618,83952.8
5009.5037,84358.33
5010.1457,85503.96
5010.7877,87810.52
5011.4296,88580.65
5012.0716,87859.39
5012.7135,87470.69
5013.3555,86904.4
5013.9975,85092.83
5014.6394,84151.46
5015.2814,84341.63
5015.9233,83659.53
5016.5653,83656.49
5017.2073,83958.71
5017.8492,84820.7
5018.4912,85353.35
5019.1331,86773.52
5019.7751,87250.3
5020.4171,87150.4
5021.059,87185.31
5021.701,87667.29
5022.3429,89107.55
5022.9849,89341.38
5023.6269,88839.19
5024.2688,89039.38
5024.9108,88350.18
5025.5527,88352.07
5026.1947,89685.08
5026.8366,90645.55
5027.4786,91027.86
5028.1206,90725.68
5028.7625,90038.8
5029.4045,90131.63
5030.0464,90462.52
5030.6884,90651.88
5031.3304,91485.49
5031.9723,93570.21
5032.6143,93892.65
5033.2562,93254.58
5033.8982,93816.41
5034.5402,93488.12
5035.1821,92185.46
5035.8241,92806.63
5036.466,91667.5
5037.108,90309.8
5037.75,89992.34
5038.3919,89832.05
5039.0339,89291.2
5039.6758,88361.89
5040.3178,88242.53
5040.9598,87652.04
5041.6017,86131.9
5042.2437,85006.32
5042.8856,84723.97
5043.5276,84946.34
5044.1696,86057.73
5044.8115,89084.04
5045.4535,92131.43
5046.0954,94021.03
5046.7374,94491.59
5047.3794,95444.15
5048.0213,94919.77
5048.6633,94985.23
5049.3052,93960.48
5049.9472,93221.3
5050.5891,91955.04
5051.2311,90862.26
5051.8731,90798.92
5052.515,90795.37
5053.157,92169.89
5053.7989,93276.76
5054.4409,94069.84
5055.0829,95252.88
5055.7248,96451.11
5056.3668,97228.02
5057.0087,97174.59
5057.6507,96464.16
5058.2927,96788.36
5058.9346,97663.28
5059.5766,99455.47
5060.2185,99610.77
5060.8605,99320.86
5061.5025,98644.59
5062.1444,98610.87
5062.7864,97948.62
5063.4283,97986.15
5064.0703,97116.1
5064.7123,95721.8
5065.3542,95415.82
5065.9962,95598.7
5066.6381,94665.87
5067.2801,93272.32
5067.9221,93138.13
5068.564,94581.72
5069.206,95906.05
5069.8479,95753.64
5070.4899,95761.98
5071.1319,96330.21
5071.7738,96243.53
5072.4158,97447.79
5073.0577,97244.03
5073.6997,96983.3
5074.3417,96749.7
5074.9836,96603.44
5075.6256,96412.9
5076.2675,97697.29
5076.9095,98974.95
5077.5514,98032.86
5078.1934,96131.3
5078.8354,95262.91
5079.4773,95250.68
5080.1193,94495.47
5080.7612,93406.57
5081.4032,91382.88
5082.0452,90958.87
5082.6871,91652.3
5083.3291,93011.47
5083.971,95661.9
5084.613,97127.97
5085.255,97000.17
5085.8969,97639.34
5086.5389,98310.95
5087.1808,99914.88
5087.8228,101534.0
5088.4648,101506.4
5089.1067,101121.2
5089.7487,101944.1
5090.3906,101347.9
5091.0326,101266.4
5091.6746,101891.6
5092.3165,102093.7
5092.9585,101985.2
5093.6004,103101.1
5094.2424,102594.4
5094.8844,103495.2
5095.5263,103390.3
5096.1683,103180.7
5096.8102,101953.9
5097.4522,100577.8
5098.0942,99890.24
5098.7361,99311.8
5099.3781,98736.38
5100.02,98265.93
5100.662,99283.31
5101.3039,100011.3
5101.9459,99192.87
5102.5879,100132.2
5103.2298,101515.1
5103.8718,102565.6
5104.5137,102847.1
5105.1557,102930.5
5105.7977,101513.7
5106.4396,101618.7
5107.0816,100548.8
5107.7235,99851.8
5108.3655,99378.03
5109.0075,99153.64
5109.6494,97939.31
5110.2914,97338.97
5110.9333,98017.75
5111.5753,99403.24
5112.2173,99885.74
5112.8592,100109.5
5113.5012,101649.5
5114.1431,103607.9
5114.7851,104856.7
5115.4271,105292.8
5116.069,104971.6
5116.711,105642.7
5117.3529,106645.8
5117.9949,107397.5
5118.6369,106876.9
5119.2788,106992.1
5119.9208,106975.4
5120.5627,105976.0
5121.2047,105945.6
5121.8467,105153.7
5122.4886,105386.8
5123.1306,103912.2
5123.7725,102891.2
5124.4145,102277.9
5125.0565,102180.3
5125.6984,101284.2
5126.3404,100132.8
5126.9823,100513.2
5127.6243,101286.0
5128.2662,101499.7
5128.9082,101950.7
5129.5502,101927.2
5130.1921,103312.6
5130.8341,103496.4
5131.476,102876.2
5132.118,103044.3
5132.76,104398.0
5133.4019,105323.7
5134.0439,107235.7
5134.6858,105449.4
5135.3278,105297.6
5135.9698,105077.0
5136.6117,104077.9
5137.2537,104768.4
5137.8956,105007.3
5138.5376,103820.7
5139.1796,102902.7
5139.8215,101705.3
5140.4635,101016.4
5141.1054,100394.7
5141.7474,99437.77
5142.3894,100387.1
5143.0313,102697.0
5143.6733,103641.0
5144.3152,104095.8
5144.9572,103881.8
5145.5992,103961.6
5146.2411,105137.3
5146.8831,107345.5
5147.525,106614.4
5148.167,106290.4
5148.809,105981.6
5149.4509,104768.7
5150.0929,105582.4
5150.7348,105351.7
5151.3768,105004.8
5152.0187,105218.7
5152.6607,104754.8
5153.3027,103869.8
5153.9446,103667.7
5154.5866,104943.2
5155.2285,106482.0
5155.8705,106971.9
5156.5125,107188.9
5157.1544,108560.3
5157.7964,110380.3
5158.4383,111564.7
5159.0803,112737.6
5159.7223,113598.6
5160.3642,114040.6
5161.0062,113540.0
5161.6481,113429.8
5162.2901,114168.6
5162.9321,112075.5
5163.574,112150.3
5164.216,110868.5
5164.8579,108418.4
5165.4999,105994.3
5166.1419,102632.0
5166.7838,99916.37
5167.4258,97260.76
5168.0677,94162.36
5168.7097,90568.88
5169.3517,88050.4
5169.9936,87205.73
5170.6356,87513.78
5171.2775,88924.05
5171.9195,90463.96
5172.5615,91130.05
5173.2034,90518.09
5173.8454,88839.15
5174.4873,87779.93
5175.1293,89594.3
5175.7713,92940.11
5176.4132,99552.32
5177.0552,105405.5
5177.6971,109684.0
5178.3391,109972.5
5178.981,110176.3
5179.623,111334.2
5180.265,110127.4
5180.9069,107621.9
5181.5489,105098.7
5182.1908,100231.2
5182.8328,97064.42
5183.4748,94455.81
5184.1167,91391.5
5184.7587,88820.47
5185.4006,88367.95
5186.0426,89613.9
5186.6846,93272.84
5187.3265,99928.32
5187.9685,106587.0
5188.6104,110994.6
5189.2524,112930.6
5189.8944,113500.1
5190.5363,113209.2
5191.1783,112179.2
5191.8202,111109.2
5192.4622,110409.1
5193.1042,110487.6
5193.7461,108994.1
5194.3881,108234.1
5195.03,108460.0
5195.672,110422.8
5196.314,113291.0
5196.9559,114297.8
5197.5979,115313.3
5198.2398,116390.0
5198.8818,117416.5
5199.5238,119315.6
5200.1657,119179.7
5200.8077,120006.6
5201.4496,120462.9
5202.0916,119498.5
5202.7335,118485.1
5203.3755,116798.1
5204.0175,115232.1
5204.6594,113268.0
5205.3014,111807.1
5205.9433,109680.4
5206.5853,107285.4
5207.2273,105850.0
5207.8692,104890.1
5208.5112,105642.8
5209.1531,106225.5
5209.7951,107265.1
5210.4371,107859.5
5211.079,109782.8
5211.721,112351.3
5212.3629,116073.8
5213.0049,119815.9
5213.6469,121838.7
5214.2888,124285.2
5214.9308,125268.4
5215.5727,124392.6
5216.2147,123982.0
5216.8567,123684.1
5217.4986,123280.4
5218.1406,122503.8
5218.7825,122334.7
5219.4245,124307.4
5220.0665,126285.5
5220.7084,128103.9
5221.3504,129807.9
5221.9923,130023.5
5222.6343,131377.2
5223.2763,130774.0
5223.9182,129803.4
5224.5602,128544.0
5225.2021,125605.8
5225.8441,122777.8
5226.4861,119947.8
5227.128,118746.7
5227.77,117105.2
5228.4119,115775.9
5229.0539,115229.6
5229.6958,116633.2
5230.3378,119730.2
5230.9798,123687.2
5231.6217,124731.7
5232.2637,124131.6
5232.9056,124419.6
5233.5476,125454.8
5234.1896,125928.6
5234.8315,124834.0
5235.4735,124130.3
5236.1154,125734.4
5236.7574,127990.5
5237.3994,130979.8
5238.0413,133126.0
5238.6833,133980.3
5239.3252,134873.4
5239.9672,135092.0
5240.6092,135322.0
5241.2511,135881.6
5241.8931,133698.6
5242.535,133776.8
5243.177,135646.6
5243.819,134491.6
5244.4609,134787.8
5245.1029,134215.5
5245.7448,133852.3
5246.3868,134310.9
5247.0288,134311.7
5247.6707,133367.0
5248.3127,132650.3
5248.9546,131615.7
5249.5966,130633.4
5250.2386,130536.5
5250.8805,130610.6
5251.5225,131153.2
5252.1644,131022.4
5252.8064,130471.2
5253.4483,130779.2
5254.0903,131406.6
5254.7323,131861.6
5255.3742,133131.6
5256.0162,134285.1
5256.6581,132894.5
5257.3001,135436.5
5257.9421,135248.9
5258.584,135465.9
5259.226,136745.0
5259.8679,138486.2
5260.5099,136355.8
5261.1519,134722.7
5261.7938,133450.1
5262.4358,132004.9
5263.0777,129101.6
5263.7197,126099.3
5264.3617,123532.1
5265.0036,124113.2
5265.6456,95929.91
5266.2875,86073.55
5266.9295,119813.9
5267.5715,117739.2
5268.2134,116629.8
5268.8554,115849.3
5269.4973,116291.5
5270.1393,116816.0
5270.7813,117952.1
5271.4232,117092.9
5272.0652,115784.2
5272.7071,117580.4
5273.3491,121101.7
5273.9911,125812.5
5274.633,130330.8
5275.275,130813.3
5275.9169,132804.4
5276.5589,133237.8
5277.2009,135083.2
5277.8428,136455.8
5278.4848,137175.7
5279.1267,137251.6
5279.7687,138769.8
5280.4106,139949.5
5281.0526,139085.2
5281.6946,137083.4
5282.3365,135583.9
5282.9785,134479.3
5283.6204,133159.3
5284.2624,132994.3
5284.9044,132791.8
5285.5463,133571.3
5286.1883,135890.8
5286.8302,137994.8
5287.4722,141120.6
5288.1142,143151.8
5288.7561,144514.5
5289.3981,144811.9
5290.04,144780.7
5290.682,142905.2
5291.324,143910.9
5291.9659,144751.7
5292.6079,144671.7
5293.2498,143283.0
5293.8918,143301.6
5294.5338,143761.5
5295.1757,143347.7
5295.8177,141806.7
5296.4596,140622.1
5297.1016,139852.9
5297.7436,137620.1
5298.3855,135754.6
5299.0275,134705.3
5299.6694,133752.8
5300.3114,134036.3
5300.9534,134069.7
5301.5953,135783.3
5302.2373,139409.7
5302.8792,141724.3
5303.5212,140675.1
5304.1631,140878.4
5304.8051,141909.7
5305.4471,143159.0
5306.089,144806.5
5306.731,144704.1
5307.3729,146004.3
5308.0149,146081.6
5308.6569,145494.9
5309.2988,145367.8
5309.9408,146119.1
5310.5827,145923.7
5311.2247,146679.0
5311.8667,147537.6
5312.5086,148699.8
5313.1506,149107.5
5313.7925,148897.7
5314.4345,148189.7
5315.0765,147679.9
5315.7184,147818.7
5316.3604,147302.6
5317.0023,147042.0
5317.6443,147283.5
5318.2863,146086.6
5318.9282,146959.7
5319.5702,147327.5
5320.2121,146352.6
5320.8541,147209.2
5321.4961,147611.0
5322.138,146236.1
5322.78,145687.2
5323.4219,142647.3
5324.0639,141888.7
5324.7059,141458.3
5325.3478,140747.5
5325.9898,137482.3
5326.6317,134544.5
5327.2737,132821.5
5327.9157,132406.5
5328.5576,132134.1
5329.1996,130422.3
5329.8415,129408.6
5330.4835,128422.4
5331.1254,129708.1
5331.7674,133898.3
5332.4094,139022.8
5333.0513,143550.2
5333.6933,145786.2
5334.3352,146744.8
5334.9772,148035.4
5335.6192,147549.1
5336.2611,148060.4
5336.9031,148157.5
5337.545,147938.3
5338.187,146829.5
5338.829,145092.4
5339.4709,140833.0
5340.1129,143557.1
5340.7548,141473.2
5341.3968,142959.6
5342.0388,141353.8
5342.6807,140785.3
5343.3227,141434.1
5343.9646,142639.6
5344.6066,144798.3
5345.2486,146999.4
5345.8905,147410.3
5346.5325,147060.8
5347.1744,146238.8
5347.8164,145643.7
5348.4584,145096.0
5349.1003,145063.0
5349.7423,145530.0
5350.3842,146220.0
5351.0262,146746.1
5351.6682,146898.1
5352.3101,148115.9
5352.9521,150653.3
5353.594,151958.1
5354.236,153842.4
5354.8779,153266.6
5355.5199,152752.2
5356.1619,153502.6
5356.8038,153780.9
5357.4458,154595.0
5358.0877,153666.8
5358.7297,155830.7
5359.3717,156293.1
5360.0136,155709.1
5360.6556,155676.8
5361.2975,155760.0
5361.9395,154449.0
5362.5815,154234.6
5363.2234,152905.6
5363.8654,153166.4
5364.5073,151779.2
5365.1493,150954.8
5365.7913,150118.5
5366.4332,149351.6
5367.0752,149172.2
5367.7171,148158.9
5368.3591,147865.0
5369.0011,147693.6
5369.643,146308.5
5370.285,144936.3
5370.9269,142595.1
5371.5689,142335.4
5372.2109,140684.3
5372.8528,141100.7
5373.4948,140940.7
5374.1367,143309.5
5374.7787,146068.3
5375.4207,150705.7
5376.0626,154002.7
5376.7046,155910.6
5377.3465,156784.9
5377.9885,156194.1
5378.6305,157008.4
5379.2724,157975.0
5379.9144,156644.2
5380.5563,157652.4
5381.1983,156979.5
5381.8402,154770.7
5382.4822,154683.6
5383.1242,153297.2
5383.7661,153719.1
5384.4081,154590.8
5385.05,154290.5
5385.692,153902.5
5386.334,154422.2
5386.9759,155723.9
5387.6179,156822.0
5388.2598,157288.4
5388.9018,157591.4
5389.5438,157096.9
5390.1857,156505.0
5390.8277,156419.8
5391.4696,154223.5
5392.1116,153446.2
5392.7536,153376.0
5393.3955,152914.2
5394.0375,152170.9
5394.6794,151378.9
5395.3214,151190.6
5395.9634,149106.4
5396.6053,149413.6
5397.2473,147621.9
5397.8892,149150.3
5398.5312,148603.5
5399.1732,148652.8
5399.8151,148068.8
5400.4571,150204.1
5401.099,152467.5
5401.741,153644.2
5402.383,154975.9
5403.0249,155083.6
5403.6669,153192.7
5404.3088,151315.7
