wavelength,flux
4987.5647,5691.379
4988.2067,5691.44
4988.8488,5691.5
4989.4908,5654.111
4990.1328,5560.326
4990.7748,5536.393
4991.4169,5513.547
4992.0589,5394.675
4992.7009,5328.48
4993.343,5537.948
4993.985,5768.193
4994.627,6051.125
4995.2691,5793.828
4995.9111,5667.429
4996.5531,5715.06
4997.1952,5727.704
4997.8372,5628.568
4998.4792,5508.093
4999.1213,5492.463
4999.7633,5358.243
5000.4053,5118.05
5001.0474,5050.12
5001.6894,5128.218
5002.3314,5000.358
5002.9735,4954.47
5003.6155,4973.899
5004.2575,4945.011
5004.8996,5125.431
5005.5416,5004.337
5006.1836,4989.424
5006.8256,5015.979
5007.4677,5151.911
5008.1097,4991.334
5008.7517,5233.115
5009.3938,5396.762
5010.0358,5578.607
5010.6778,5305.445
5011.3199,5287.282
5011.9619,5177.811
5012.6039,5092.395
5013.246,5017.272
5013.888,4873.745
5014.53,4933.399
5015.1721,4921.094
5015.8141,4852.435
5016.4561,4877.047
5017.0982,5309.979
5017.7402,5403.295
5018.3822,5495.335
5019.0243,5672.373
5019.6663,5282.389
5020.3083,5457.079
5020.9504,5401.385
5021.5924,5310.122
5022.2344,5412.25
5022.8765,5384.562
5023.5185,5282.038
5024.1605,5429.665
5024.8025,5334.572
5025.4446,5409.632
5026.0866,5566.323
5026.7286,5569.321
5027.3707,5505.919
5028.0127,5412.288
5028.6547,5479.452
5029.2968,5572.973
5029.9388,5646.511
5030.5808,5880.745
5031.2229,6153.043
5031.8649,6274.054
5032.5069,6060.9
5033.149,6015.488
5033.791,5829.087
5034.433,6013.134
5035.0751,6042.943
5035.7171,5871.961
5036.3591,5488.851
5037.0012,5398.091
5037.6432,5273.676
5038.2852,5261.926
5038.9273,5222.392
5039.5693,5020.128
5040.2113,4905.102
5040.8533,4815.745
5041.4954,4789.04
5042.1374,4900.882
5042.7794,4965.719
5043.4215,5224.578
5044.0635,5517.823
5044.7055,5843.479
5045.3476,6011.353
5045.9896,5942.739
5046.6316,6174.877
5047.2737,5914.371
5047.9157,6154.182
5048.5577,5728.338
5049.1998,5603.179
5049.8418,5622.646
5050.4838,5697.04
5051.1259,5532.663
5051.7679,5589.097
5052.4099,5734.028
5053.052,5785.349
5053.694,5925.222
5054.336,5858.186
5054.9781,5947.242
5055.6201,6208.053
5056.2621,6274.777
5056.9041,6371.13
5057.5462,6302.502
5058.1882,6273.223
5058.8302,6305.116
5059.4723,6294.278
5060.1143,6331.749
5060.7563,6393.242
5061.3984,6374.917
5062.0404,6371.226
5062.6824,5941.024
5063.3245,6114.917
5063.9665,5998.644
5064.6085,5877.396
5065.2506,5693.131
5065.8926,5441.167
5066.5346,5515.03
5067.1767,5652.628
5067.8187,5794.787
5068.4607,5782.477
5069.1028,5707.383
5069.7448,5687.635
5070.3868,5731.842
5071.0289,5821.414
5071.6709,5752.079
5072.3129,5946.04
5072.9549,5921.908
5073.597,5857.652
5074.239,5872.583
5074.881,6039.647
5075.5231,5748.291
5076.1651,6018.56
5076.8071,5681.282
5077.4492,5571.559
5078.0912,5593.89
5078.7332,5575.338
5079.3753,5460.893
5080.0173,5363.886
5080.6593,5264.817
5081.3014,5232.514
5081.9434,5335.458
5082.5854,5498.3
5083.2275,5531.925
5083.8695,5583.042
5084.5115,5796.084
5085.1536,6007.52
5085.7956,6167.942
5086.4376,6226.481
5087.0797,6243.557
5087.7217,6164.123
5088.3637,6278.275
5089.0057,6115.423
5089.6478,6436.095
5090.2898,6132.875
5090.9318,6403.359
5091.5739,6226.661
5092.2159,6354.978
5092.8579,6550.73
5093.5,6338.966
5094.142,6560.613
5094.784,6471.083
5095.4261,6353.692
5096.0681,6275.446
5096.7101,6160.375
5097.3522,5941.552
5097.9942,5856.129
5098.6362,5839.098
5099.2783,5787.332
5099.9203,5843.051
5100.5623,5632.924
5101.2044,5739.738
5101.8464,5765.685
5102.4884,5925.163
