wavelength,flux
4989.4781,5731.182
4990.1201,5731.226
4990.7622,5731.269
4991.4042,5734.053
4992.0462,5705.617
4992.6882,5601.12
4993.3302,5936.683
4993.9723,6032.549
4994.6143,6053.49
4995.2563,5909.187
4995.8983,5865.816
4996.5404,5935.92
4997.1824,6090.103
4997.8244,6197.294
4998.4664,6113.428
4999.1085,5953.275
4999.7505,5785.517
5000.3925,5549.059
5001.0345,5527.554
5001.6765,5300.827
5002.3186,5114.963
5002.9606,5299.941
5003.6026,5159.747
5004.2446,5207.586
5004.8867,5375.615
5005.5287,5376.524
5006.1707,5374.92
5006.8127,5308.339
5007.4548,5000.391
5008.0968,5096.172
5008.7388,5308.731
5009.3808,5547.237
5010.0229,5667.61
5010.6649,5758.359
5011.3069,5711.528
5011.9489,5670.079
5012.5909,5607.734
5013.233,5394.86
5013.875,5168.517
5014.517,4983.853
5015.159,4942.528
5015.8011,4933.918
5016.4431,4968.71
5017.0851,5060.793
5017.7271,5423.387
5018.3692,5280.536
5019.0112,5640.157
5019.6532,5618.973
5020.2952,5651.218
5020.9373,5683.566
5021.5793,5679.857
5022.2213,5600.723
5022.8633,5533.275
5023.5053,5379.058
5024.1474,5309.669
5024.7894,5451.257
5025.4314,5818.205
5026.0734,5898.75
5026.7155,5837.881
5027.3575,5861.469
5027.9995,5742.185
5028.6415,5683.658
5029.2836,5589.494
5029.9256,5634.723
5030.5676,5991.757
5031.2096,6127.367
5031.8516,6132.889
5032.4937,6560.558
5033.1357,6576.704
5033.7777,6356.655
5034.4197,6257.507
5035.0618,6294.28
5035.7038,6254.879
5036.3458,5901.129
5036.9878,5725.155
5037.6299,5431.42
5038.2719,5432.429
5038.9139,5458.112
5039.5559,5396.896
5040.198,5308.98
5040.84,5141.935
5041.482,4932.997
5042.124,4845.773
5042.766,4919.195
5043.4081,5129.584
5044.0501,5759.391
5044.6921,5994.933
5045.3341,6166.771
5045.9762,6312.042
5046.6182,6483.827
5047.2602,6668.025
5047.9022,6523.071
5048.5443,6262.783
5049.1863,6016.211
5049.8283,5829.513
5050.4703,5670.831
5051.1123,5581.931
5051.7544,5637.373
5052.3964,5882.06
5053.0384,5959.282
5053.6804,6040.892
5054.3225,6126.859
5054.9645,6248.696
5055.6065,6397.558
5056.2485,6497.655
5056.8906,6519.676
5057.5326,6431.649
5058.1746,6646.272
5058.8166,6666.206
5059.4587,6645.225
5060.1007,6821.374
5060.7427,6686.843
5061.3847,6570.906
5062.0267,6748.422
5062.6688,6689.575
5063.3108,6396.996
5063.9528,6466.582
5064.5948,6294.168
5065.2369,5934.229
5065.8789,5684.304
5066.5209,5566.166
5067.1629,5714.625
5067.805,5973.087
5068.447,6092.728
5069.089,5980.833
5069.731,5799.722
5070.3731,5783.345
5071.0151,6024.143
5071.6571,6239.952
5072.2991,6202.511
5072.9411,6083.831
5073.5832,5908.815
5074.2252,6044.014
5074.8672,6079.762
5075.5092,6168.572
5076.1513,6243.909
5076.7933,6305.634
5077.4353,5971.543
5078.0773,6090.543
5078.7194,6009.208
5079.3614,5989.729
5080.0034,5807.179
5080.6454,5445.021
5081.2874,5246.055
5081.9295,5381.152
5082.5715,5678.116
5083.2135,5706.173
5083.8555,5741.406
5084.4976,5800.903
5085.1396,5920.213
5085.7816,6223.087
5086.4236,6403.408
5087.0657,6614.208
5087.7077,6770.338
5088.3497,6598.313
5088.9917,6573.859
5089.6338,6435.024
5090.2758,6594.954
5090.9178,6597.089
5091.5598,6499.694
5092.2018,6545.14
5092.8439,6630.515
5093.4859,6852.813
5094.1279,6745.404
5094.7699,6980.621
5095.412,6854.189
5096.054,6671.884
5096.696,6340.298
5097.338,6180.234
5097.9801,6001.135
5098.6221,5977.028
5099.2641,6142.85
5099.9061,6142.803
5100.5481,5985.21
5101.1902,5936.678
5101.8322,6316.725
5102.4742,6418.086
5103.1162,6301.555
5103.7583,6349.02
5104.4003,6416.563
5105.0423,6204.396
5105.6843,6332.136
5106.3264,5979.86
5106.9684,6286.262
5107.6104,6077.078
5108.2524,5995.958
5108.8945,6038.972
5109.5365,5996.221
5110.1785,6053.937
5110.8205,6134.302
5111.4625,6260.138
5112.1046,6351.148
5112.7466,6497.527
5113.3886,6635.375
5114.0306,6699.812
5114.6727,6731.606
5115.3147,6832.833
5115.9567,6970.583
5116.5987,7016.003
5117.2408,7073.326
5117.8828,6974.47
5118.5248,6962.007
5119.1668,7020.552
5119.8088,6915.715
5120.4509,6779.05
5121.0929,6673.696
5121.7349,6660.299
5122.3769,6285.498
5123.019,6237.388
5123.661,6284.993
5124.303,6025.18
5124.945,6108.772
5125.5871,5872.361
5126.2291,5936.72
5126.8711,5870.11
5127.5131,5978.816
5128.1552,6115.939
5128.7972,6095.354
5129.4392,6100.338
5130.0812,6229.444
5130.7232,6359.861
5131.3653,6317.259
5132.0073,6307.69
5132.6493,6574.862
5133.2913,6784.474
5133.9334,6859.359
5134.5754,6773.796
5135.2174,6758.551
5135.8594,6480.59
5136.5015,6787.031
5137.1435,6859.351
5137.7855,6495.18
5138.4275,6443.93
5139.0696,6326.331
5139.7116,6181.159
5140.3536,5995.4
5140.9956,6092.273
5141.6376,6268.373
5142.2797,6508.379
5142.9217,6616.159
5143.5637,6436.268
5144.2057,6256.429
5144.8478,6330.238
5145.4898,6478.338
5146.1318,6446.083
5146.7738,6274.868
5147.4159,6281.486
5148.0579,6334.243
5148.6999,6286.72
5149.3419,6313.185
5149.9839,6386.195
5150.626,6669.661
5151.268,6374.536
5151.91,6083.185
5152.552,6156.097
5153.1941,6118.966
5153.8361,6321.924
5154.4781,6137.064
5155.1201,6098.063
5155.7622,6269.827
5156.4042,6633.538
5157.0462,6942.978
5157.6882,7111.057
5158.3303,7263.809
5158.9723,7375.472
5159.6143,7456.811
5160.2563,7599.564
5160.8983,7531.382
5161.5404,7286.812
5162.1824,7264.46
5162.8244,7152.655
5163.4664,6761.439
5164.1085,6388.844
5164.7505,6277.239
5165.3925,6155.182
5166.0345,5916.715
5166.6766,5371.98
5167.3186,5027.13
5167.9606,4843.813
5168.6026,4442.061
5169.2446,4495.517
5169.8867,4710.465
5170.5287,4894.469
5171.1707,4991.795
5171.8127,4941.817
5172.4548,4660.338
5173.0968,4391.016
5173.7388,4373.215
5174.3808,4566.779
5175.0229,4985.696
5175.6649,5594.667
5176.3069,6109.421
5176.9489,6287.046
5177.591,6383.723
5178.233,6385.288
5178.875,6269.79
5179.517,6372.855
5180.159,6044.102
5180.8011,5679.15
5181.4431,5361.559
5182.0851,5084.437
5182.7271,4633.2
5183.3692,4329.758
5184.0112,4272.697
5184.6532,4422.499
5185.2952,4684.861
5185.9373,5180.889
5186.5793,5874.347
5187.2213,6386.116
5187.8633,6749.271
5188.5054,7120.349
5189.1474,7206.372
5189.7894,7080.143
5190.4314,6994.506
5191.0734,7073.523
5191.7155,7109.508
5192.3575,6841.985
5192.9995,6488.848
5193.6415,6227.655
5194.2836,6491.755
5194.9256,6730.508
5195.5676,7108.793
5196.2096,7250.38
5196.8517,7262.759
5197.4937,7407.208
5198.1357,7922.591
5198.7777,8061.826
5199.4197,7950.134
5200.0618,7853.95
5200.7038,7851.616
5201.3458,7672.782
5201.9878,7816.079
5202.6299,7490.792
5203.2719,7082.631
5203.9139,6885.766
5204.5559,6697.368
5205.198,6247.081
5205.84,5785.555
5206.482,5570.278
5207.124,5473.219
5207.7661,5383.604
5208.4081,5464.972
5209.0501,5722.689
5209.6921,5872.167
5210.3341,5906.062
5210.9762,6720.782
5211.6182,7212.817
5212.2602,7588.815
5212.9022,7980.604
5213.5443,8341.207
5214.1863,8531.953
5214.8283,8466.264
5215.4703,8259.246
5216.1124,8291.754
5216.7544,8031.634
5217.3964,7841.613
5218.0384,8119.795
5218.6804,8446.824
5219.3225,8532.031
5219.9645,8777.662
5220.6065,8993.571
5221.2485,9024.329
5221.8906,9005.8
5222.5326,9047.183
5223.1746,8880.426
5223.8166,8482.6
5224.4587,8255.406
5225.1007,7860.599
5225.7427,7493.996
5226.3847,7116.831
5227.0268,7175.793
5227.6688,6894.736
5228.3108,7009.505
5228.9528,7435.745
5229.5948,7983.728
5230.2369,8556.929
5230.8789,8412.849
5231.5209,8550.026
5232.1629,8602.605
5232.805,8606.02
5233.447,8362.854
5234.089,8204.01
5234.731,8209.528
5235.3731,8609.026
5236.0151,8935.27
5236.6571,9119.317
5237.2991,9196.867
5237.9411,9468.846
5238.5832,9838.461
5239.2252,9853.299
5239.8672,9666.656
5240.5092,9555.383
5241.1513,9514.211
5241.7933,9586.48
5242.4353,9870.467
5243.0773,9608.258
5243.7194,9378.914
5244.3614,9236.431
5245.0034,9573.07
5245.6454,9756.151
5246.2875,9583.004
5246.9295,9266.432
5247.5715,9044.076
5248.2135,8859.165
5248.8555,8543.285
5249.4976,8590.189
5250.1396,8769.518
5250.7816,8736.439
5251.4236,8652.5
5252.0657,8584.532
5252.7077,8646.122
5253.3497,8920.07
5253.9917,9270.234
5254.6338,9350.719
5255.2758,9210.358
5255.9178,9234.605
5256.5598,9458.832
5257.2019,9576.156
5257.8439,9920.893
5258.4859,10206.61
5259.1279,9985.351
5259.7699,9897.775
5260.412,9761.053
5261.054,9557.287
5261.696,9085.181
5262.338,8351.916
5262.9801,8060.401
5263.6221,7570.438
5264.2641,7140.423
5264.9061,6979.062
5265.5482,6865.096
5266.1902,6705.347
5266.8322,7019.013
5267.4742,5025.463
5268.1162,6009.34
5268.7583,7202.495
5269.4003,7121.005
